No,Lab Code,Lab Name,Report,Measured_RBC,Measured_WBC,Measured_PLT,Measured_Hb,Measured_Hct,Measured_MCV,Measured_MCH,Measured_MCHC,,Reference_RBC,Reference_WBC,Reference_PLT,Reference_Hb,Reference_Hct,Reference_MCV,Reference_MCH,Reference_MCHC,,Brand_Code,Brand_Name,Model_Code,Model_Description,Brand_Custom,Model_Custom,Model_Name,Submission_Date,Suggestion,Remarks,Defect_Note,Status,Status_Recheck,Labcode_HM,Type
0038,00038,โรงพยาบาลรวมแพทย์ฉะเชิงเทรา,R,2.31,1.74,55,5.5,18.9,81.9,23.8,29.1,,5.31,18.25,522,15.5,48.4,91.1,29.2,32.0,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6000,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1795,NGPH
0041,00041,บริษัท ไลฟ์ ไดแอ็ก จำกัด,R,2.29,2.16,59,5.4,17.7,77.1,23.9,30.8,,5.17,21.93,513,15.1,45.5,87.9,29.5,33.5,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1196,NGPH
0042,00042,บริษัท โปร อินเตอร์ แลบ จำกัด,R,2.29,2.13,51,5.4,17.3,75.8,23.7,31.3,,5.20,21.87,473,15.2,45.1,86.9,29.3,33.8,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC 5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1326,NGPH
0043,00043,โรงพยาบาลบ้านโฮ่ง,R,2.27,1.83,52,5.4,17.4,76.7,23.9,31.1,,4.50,4.76,523,15.3,58.5,129.9,34.0,26.2,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1167,PHCH
0044,00044,ศูนย์อนามัยที่ 1 เชียงใหม่,R,2.18,2.05,59,5.3,16.8,77.0,24.5,31.8,,5.20,21.67,516,14.9,46.7,89.7,28.7,32.0,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC780,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 35,DH
0045,00045,โรงพยาบาลสมเด็จพระเจ้าตากสินมหาราช,R,2.34,1.94,56,5.4,18.8,80.0,23.1,28.9,,5.39,19.06,528,15.4,48.9,90.7,28.4,31.4,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6200,10 กันยายน 2568,เซลล์เม็ดเลือดติดสีโทนเข้มเกินไป และจำนวน WBC น้อยมาก ทำให้ diff ยาก,,ตัวอย่างทดสอบ A367  hemolysis รบกวนขอส่งตัวอย่างทดสอบใหม่,ส่งผลสมบูรณ์,,HM 98,PHGH
0046,00046,โรงพยาบาลบางบ่อ,R,5.35,18.60,539,15.3,47.6,89.0,28.6,32.1,,2.25,1.78,62,5.4,17.8,79.2,23.8,30.3,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6200,17 กันยายน 2568,,รายงานผลสลับตัวอย่าง A กับ B,,ส่งผลสมบูรณ์,,HM 1070,PHCH
0047,00047,โรงพยาบาลทหารอากาศ(สีกัน),R,2.23,2.14,57,5.3,17.2,77.2,23.7,30.7,,5.28,23.75,520,15.2,47.7,90.2,28.9,32.0,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC 760,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1739,GNPH
0048,00048,โรงพยาบาลหนองเสือ,R,2.29,2.16,58,5.5,17.7,77.1,23.8,30.9,,5.19,21.98,530,15.3,45.9,88.4,29.5,33.3,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC 5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1379,PHCH
0049,00049,โรงพยาบาลนนทเวช,R,2.33,1.79,51,5.6,18.4,78.9,23.9,30.4,,5.38,18.10,528,15.2,16.5,86.4,28.2,32.7,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6200,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1026,NGPH
0050,00050,โรงพยาบาลหันคา,R,2.23,2.13,68,5.4,16.8,75.7,24.4,32.3,,5.13,21.11,528,15.2,45.0,87.8,29.7,33.8,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,มีไฟล์แนบของ ศวก.2 เข้ามาด้วย,HM 1299,PHCH
0051,00051,โรงพยาบาลพบพระ,R,2.23,2.13,53,5.3,17.3,77.7,23.6,30.6,,5.26,18.44,526,15.2,46.6,88.6,28.9,32.6,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 474,PHCH
0052,00052,โรงพยาบาลรวมแพทย์สุโขทัย,R,2.25,2.10,89,5.3,23.0,102.2,23.5,23.0,,5.20,21.70,523,15.0,46.0,88.4,28.8,32.6,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,มีไฟล์แนบของ ศวก.2 เข้ามาด้วย,HM 863,NGPH
0053,00053,บริษัทศูนย์ห้องปฏิบัติการและวิจัยทางการแพทย์แห่งเอเซีย จำกัด(โรงพยาบาลลาดพร้าว) (เครื่อง1),R,2.34,1.91,49,5.5,18.8,80.3,23.5,29.3,,5.48,18.99,538,15.5,49.5,90.4,28.3,31.3,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC-6200,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,มีไฟล์แนบของ ศวก.5 เข้ามาด้วย,HM 771,NGPH
0055,00055,โรงพยาบาลผักไห่,R,2.32,2.21,60,5.6,17.8,76.5,24.0,31.3,,5.16,22.22,515,15.4,44.7,86.8,29.8,34.4,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 134,PHCH
0058,00058,โรงพยาบาลเวชศาสตร์เขตร้อน,R,2.30,1.88,38,5.4,18.3,79.4,23.6,29.5,,5.39,18.13,545,15.4,48.3,89.6,28.6,31.9,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC 6200,17 กันยายน 2568,,,Sample B368 hemolysis,ส่งผลสมบูรณ์,ไฟล์แนบ HM368,HM 704,GNPH
0064,00064,โรงพยาบาลพาน,R,2.33,1.86,60,5.6,18.5,79.2,23.9,30.3,,5.30,17.86,560,15.4,47.1,88.9,29.1,32.7,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6200,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 559,PHCH
0065,00065,โรงพยาบาลเทิง,R,2.11,1.40,78,5.3,22.3,105.3,24.9,23.6,,5.20,5.80,509,15.4,48.0,92.3,29.5,32.0,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC 760,10 กันยายน 2568,วัตถุทดสอบ A368 มี Hemolysis,,,ส่งผลสมบูรณ์,,HM 563,PHCH
0069,00069,โรงพยาบาลสรรพสิทธิประสงค์,R,2.32,1.88,49,5.4,18.2,78.6,23.4,29.7,,5.38,18.10,530,15.3,48.3,89.8,28.4,31.7,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6200,10 กันยายน 2568,Slide blood smaerติดสีไปในโทนแดง ควรแก้ไข,,,ส่งผลสมบูรณ์,,HM 49,PHRH
0077,00077,โรงพยาบาลคีรีมาศ,R,2.16,2.29,49,5.3,16.6,76.7,24.6,31.9,,5.18,23.51,485,15.2,47.2,91.2,29.4,32.2,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,มีไฟล์แนบของ ศวก.2 เข้ามาด้วย,HM 478,PHCH
0082,00082,โรงพยาบาลเวียงแหง,R,2.07,2.05,78,5.3,23.1,111.7,25.6,22.9,,4.07,21.25,572,15.9,54.4,133.7,39.2,29.2,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC 760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 556,PHCH
0084,00084,โรงพยาบาลชัยภูมิรวมแพทย์,R,1.88,2.00,87,5.0,18.0,96.2,26.5,27.7,,5.07,21.30,489,14.9,43.2,85.4,29.3,34.4,,(600) Mindray,600,605,"(605) BC 2800, 3000 Plus, 3200",,,Mindray BC 3000 Plus,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1359,NGPH
0085,00085,โรงพยาบาลวังน้อย,R,2.31,1.82,68,5.4,19.7,85.2,23.5,27.4,,5.36,18.13,525,15.2,48.8,91.0,28.3,31.1,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC-6200,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1263,PHCH
0094,00094,โรงพยาบาลจุฬารัตน์ 3 อินเตอร์,R,2.34,2.03,61,5.5,18.3,78.4,23.5,30.1,,5.43,19.62,526,15.1,47.6,87.7,27.8,31.7,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",BC-6200,,BC6200,17 กันยายน 2568,-,รายงานผลหน่วย PLT ผิด,,ส่งผลสมบูรณ์,,HM 774,NGPH
0095,00095,คณะทันตแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,R,2.28,2.10,71,5.4,17.1,75.4,23.6,31.5,,5.19,21.60,501,15.6,45.4,87.6,30.0,34.3,,(600) Mindray,600,605,"(605) BC 2800, 3000 Plus, 3200",,,BC 3000 plus,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1270,GNPH
0096,00096,โรงพยาบาลฝาง,R,2.35,1.83,59,5.5,18.5,78.9,23.3,29.5,,5.42,19.35,525,15.5,48.9,90.3,28.6,31.7,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6000,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1310,PHCH
0099,00099,โรงพยาบาลยางตลาด,R,2.18,2.05,65,5.5,17.2,78.8,25.2,32.0,,5.33,21.57,536,15.7,48.4,90.8,29.5,32.4,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 972,PHCH
0100,00100,โรงพยาบาลแม่ฟ้าหลวง,R,2.19,2.14,64,5.4,16.9,77.1,24.5,32.0,,5.18,23.22,500,15.3,45.8,88.5,29.5,33.4,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 573,PHCH
0104,00104,โรงพยาบาลปากพลี,R,2.34,2.15,107,5.2,26.6,113.5,22.6,19.7,,5.14,22.04,506,15.4,48.4,94.1,30.0,31.8,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5300,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 168,PHCH
0110,00110,โรงพยาบาลห้วยคต,R,2.32,2.15,61,5.5,18.5,79.7,23.7,29.7,,5.38,21.42,495,15.5,49.1,91.3,28.8,31.6,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5380,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 469,PHCH
0111,00111,โรงพยาบาลแม่ระมาด,R,2.34,2.03,62,5.6,18.1,77.4,24.1,30.9,,5.26,17.57,543,15.1,46.9,89.2,28.8,32.2,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC-760,10 กันยายน 2568,จำนวน WBC ในสไลด์ ที่ต้องทำการ diff มีจำนวนน้อยเกินไปค่ะ,,,ส่งผลสมบูรณ์,,HM 471,PHCH
0114,00114,โรงพยาบาลประสาทเชียงใหม่,R,2.26,1.92,63,5.4,17.3,76.6,24.0,31.2,,5.26,19.09,498,15.5,46.7,88.7,29.4,33.2,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 12,DMS
0117,00117,โรงพยาบาล จุฬารัตน์ 11,R,2.26,2.22,76,5.4,17.2,76.1,23.9,31.4,,5.48,19.22,522,15.6,48.9,89.3,28.5,31.9,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6000,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1033,NGPH
0121,00121,โรงพยาบาลลี้,R,2.28,1.50,55,5.4,17.5,76.5,23.6,30.8,,4.44,0.28,567,15.3,57.5,129.5,34.4,26.6,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 580,PHCH
0122,00122,โรงพยาบาลบางน้ำเปรี้ยว,R,2.30,2.12,105,5.3,24.9,108.1,23.1,21.4,,5.37,21.00,531,15.4,48.2,89.9,28.9,28.7,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC 780,17 กันยายน 2568,,,A368 hemolysis,ส่งผลสมบูรณ์,,HM 189,PHCH
0123,00123,โรงพยาบาลโซ่พิสัย,R,2.28,2.02,64,5.5,18.0,78.6,24.1,31.4,,4.29,18.92,546,15.2,48.1,90.0,28.4,31.6,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 341,PHCH
0124,00124,โรงพยาบาลศรีวิไล,R,2.23,2.11,59,5.4,17.1,76.9,24.1,31.6,,5.26,18.37,527,15.4,47.6,90.4,29.3,32.4,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 344,PHCH
0125,00125,โรงพยาบาลหนองคาย,R,2.30,1.85,54,5.4,18.5,80.6,23.6,29.2,,5.36,18.37,536,15.4,48.7,90.9,28.7,31.6,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6200,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 923,PHGH
0126,00126,Alliance International Medical Centre,R,2.18,2.11,58,5.3,16.5,75.7,24.2,32.0,,4.88,21.25,543,14.9,56.0,114.6,30.4,26.5,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",-,-,BC5180,10 กันยายน 2568,-,,,ส่งผลสมบูรณ์,,HM 821,NGPH
0127,00127,โรงพยาบาลเฝ้าไร่,R,2.29,2.14,61,5.4,17.9,78.3,23.6,30.1,,5.43,21.97,529,15.3,48.5,89.4,28.2,31.6,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1500,PHCH
0128,00128,โรงพยาบาลพิสัยเวช,R,4.26,7.78,247,11.9,38.5,96.2,29.8,30.9,,4.89,17.13,480,15.6,51.6,105.5,31.9,30.0,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1053,NGPH
0129,00129,โรงพยาบาลหนองคายวัฒนา,R,2.33,2.84,64,5.6,18.0,76.8,24.0,31.0,,5.37,22.64,525,15.5,47.3,87.9,28.7,32.6,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC 5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 867,NGPH
0130,00130,นอร์ทอีสเทอร์น-วัฒนา รพ.เอกชนขนาดใหญ่,R,2.33,2.16,63,5.5,17.7,76.0,23.5,30.9,,5.27,21.43,505,15.3,45.5,86.4,29.1,33.6,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1532,NGPH
0133,00133,โรงพยาบาลสำโรงทาบ,R,2.27,1.94,91,5.4,25.0,110.5,23.7,21.5,,5.18,18.65,517,15.1,44.6,86.2,26.1,33.8,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6800,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 961,PHCH
0136,00136,โรงพยาบาลพุทธชินราช พิษณุโลก,R,2.30,1.83,43,5.4,18.3,79.6,23.5,29.5,,5.31,18.22,513,15.4,48.9,91.5,28.8,31.5,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6200,10 กันยายน 2568,,,A368 Hemolysis,ส่งผลสมบูรณ์,มีไฟล์แนบของ ศวก.2 เข้ามาด้วย,HM 53,PHRH
0143,00143,โรงพยาบาลอินทร์บุรี,R,2.30,2.12,66,5.6,17.8,77.4,24.3,31.5,,5.30,22.24,538,15.6,47.2,89.0,29.4,33.1,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5300,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 72,PHGH
0149,00149,มหาวิทยาลัยมหิดล,R,2.29,1.90,64,5.6,17.8,77.8,24.3,31.2,,5.30,17.78,547,15.7,46.6,87.8,29.5,33.6,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC 6800,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1392,GNPH
0155,00155,สถาบันราชประชาสมาสัย,R,,,,,,,,,,5.21,21.77,511,15.8,45.6,87.6,30.3,34.6,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5180,17 กันยายน 2568,,,A เสียหาย,,,,
0161,00161,โรงพยาบาลดารารัศมี,R,2.31,2.08,108,5.4,17.0,73.6,24.1,23.3,,5.31,22.83,477,15.0,47.6,89.6,28.2,31.5,,(600) Mindray,600,603,"(603) BC 5600, 5800",,,BC5600,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 717,GNPH
0177,00177,โรงพยาบาลบุรีรัมย์ (เครื่อง1),R,2.22,1.92,56,5.3,23.7,106.7,24.0,22.4,,3.66,16.40,553,15.2,49.1,134.1,41.5,31.0,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6200,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 60,PHRH
0178,00178,โรงพยาบาลบุรีรัมย์ (เครื่อง2),R,2.20,1.89,64,5.3,23.7,107.9,24.1,22.4,,3.72,15.85,558,15.2,50.8,136.5,40.9,29.9,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6200,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1773,PHRH
0179,00179,โรงพยาบาลบุรีรัมย์ (เครื่อง3),R,2.25,1.83,65,5.4,24.2,107.4,24.0,22.3,,3.79,16.67,521,15.3,52.2,137.6,40.4,29.3,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6200,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1774,PHRH
0185,00185,โรงพยาบาลสุวรรณภูมิ,R,2.29,2.07,74,5.5,17.5,76.4,23.9,31.4,,5.38,18.53,526,15.3,48.2,89.5,28.4,31.7,,(600) Mindray,600,604,"(604) BC 6000, 6200, 6800, 6800 Plus, BC-75R  vet",,,BC6200,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 420,PHCH
0187,00187,โรงพยาบาลเวียงป่าเป้า,R,2.17,2.10,66,5.2,17.0,78.2,24.2,30.6,,5.20,22.82,543,15.0,48.3,92.9,28.9,31.1,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC 760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,ไฟล์แนบ HM368,HM 564,PHCH
0197,00197,โรงพยาบาลจุรีเวช,R,2.23,2.14,66,5.4,17.7,79.3,24.2,30.5,,5.16,21.34,503,15.4,46.6,90.4,29.8,33.0,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 824,NGPH
0200,00200,โรงพยาบาลชนแดน,R,2.12,2.06,86,5.3,23.5,110.9,24.8,22.6,,5.46,22.63,549,15.4,48.8,89.4,28.2,31.6,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC 760,10 กันยายน 2568,,,วัตถุทดสอบ A368 Hemolysis,ส่งผลสมบูรณ์,,HM 505,PHCH
0206,00206,โรงพยาบาลบุ่งคล้า,R,2.32,2.09,88,5.5,24.6,106.3,23.8,22.3,,5.24,21.58,503,15.7,45.8,87.4,29.9,34.2,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC 5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 345,PHCH
0207,00207,โรงพยาบาลธนกาญจน์,R,2.27,2.11,125,5.3,24.9,109.9,23.3,21.2,,4.90,20.18,564,14.8,58.0,118.4,30.2,25.5,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5300,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,มีไฟล์แนบของงาน SAR-CoV เข้ามาด้วย,HM 804,NGPH
0208,00208,โรงพยาบาลศิครินทร์ สมุทรปราการ,R,2.24,1.76,65,5.3,17.7,79.2,23.5,29.7,,5.36,18.70,540,15.4,49.0,90.1,28.3,31.0,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC760,17 กันยายน 2568,วัตถุประเมินคุณภาพการตรวจวิเคราะห์โลหิตวิทยา ทั้ง รอบที่ 2 และ 3/2568 ของโรงพยาบาลศิครินทร์สมุทรปราการ ส่วนใหญ่  Sample hemomlysis  รบกวนช่วยตรวจสอบsample หรือกระบวนการขนส่งเพื่อให้วัตถุคงสภาพสมบูณ์เนื่องจากการทำ EQA ผลออกมาจะทำให้ค่าผิดปกติได้ค่ะ,,Sample B 368 hemolysis,ส่งผลสมบูรณ์,,HM 1958,NGPH
0209,00209,โรงพยาบาลบางปลาม้า,R,2.11,2.27,73,5.3,22.9,108.4,24.9,23.1,,5.15,22.85,510,15.4,46.6,90.5,29.9,33.0,,(600) Mindray,600,606,"(606) BC 700, 720, 760, 780",,,BC760,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,มีไฟล์แนบของ ศวก.1 เข้ามาด้วย,HM 174,PHCH
0210,00210,โรงพยาบาลพรชัย,R,2.31,2.19,72,5.5,17.8,77.2,23.8,30.8,,5.35,22.17,522,15.3,47.8,89.4,28.6,32.0,,(600) Mindray,600,602,"(602) BC 5180, 5300, 5300VET, 5380",,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 905,NGPH
