No,Lab Code,Lab Name,Report,Measured_RBC,Measured_WBC,Measured_PLT,Measured_Hb,Measured_Hct,Measured_MCV,Measured_MCH,Measured_MCHC,,Reference_RBC,Reference_WBC,Reference_PLT,Reference_Hb,Reference_Hct,Reference_MCV,Reference_MCH,Reference_MCHC,,Brand_Code,Brand_Name,Model_Code,Model_Description,Brand_Custom,Model_Custom,Model_Name,Submission_Date,Suggestion,Remarks,Defect_Note,Status,Status_Recheck,Labcode_HM,Type
155,00155,สถาบันราชประชาสมาสัย,R,,,,,,,,,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,A เสียหาย,,,,
197,00197,โรงพยาบาลจุรีเวช,R,2.23,2.14,66,5.4,17.7,79.3,24.2,30.5,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 824,NGPH
206,00206,โรงพยาบาลบุ่งคล้า,R,2.32,2.09,88,5.5,24.6,106.3,23.8,22.3,,,,,,,,,,,(600) Mindray,,602,,,,BC 5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 345,PHCH
207,00207,โรงพยาบาลธนกาญจน์,R,2.27,2.11,125,5.3,24.9,109.9,23.3,21.2,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,มีไฟล์แนบของงาน SAR-CoV เข้ามาด้วย,HM 804,NGPH
210,00210,โรงพยาบาลพรชัย,R,2.31,2.19,72,5.5,17.8,77.2,23.8,30.8,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 905,NGPH
223,00223,โรงพยาบาลจุฬารัตน์ ชลเวช,R,2.34,2.29,70,5.4,17.7,75.6,23,30.4,,,,,,,,,,,(600) Mindray,,602,,,,BC5380,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,ไฟล์แนบ HM368,HM 790,NGPH
240,00240,โรงพยาบาลเชียงใหม่ใกล้หมอ,R,2.23,2.09,68,5.4,17.6,79,24.2,30.7,,,,,,,,,,,(600) Mindray,,602,,,,BC 5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 890,NGPH
242,00242,โรงพยาบาลแพร่คริสเตียน,R,2.24,2.16,67,5.5,17.6,78.1,24.3,32.2,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,10 กันยายน 2568,เว็บไซต์ควรสามารถบันทึกร่างได้ในทุกขั้นตอนขณะกรอกข้อมูล เนื่องจากอาจมีบางแห่งมีปัญหาด้านอินเทอร์เน็ตทำให้ต้องกรอกใหม่ทั้งหมด,,,ส่งผลสมบูรณ์,,HM 832,NGPH
245,00245,โรงพยาบาลสอง,R,2.27,2.07,101,5.2,24.8,109.4,22.9,20.9,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,รอส่งผลวิเคราะห์,ส่งผลทางเมลเติมข้อมูลแล้ว,HM 511,PHCH
246,00246,โรงพยาบาลศรีประจันต์,R,2.24,2.18,62,5.3,17.5,78.2,23.7,30.3,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1776,PHCH
250,00250,โรงพยาบาลเกาะช้าง​,R,2.35,2.26,63,5.4,18.2,77.4,23,29.7,,,,,,,,,,,(600) Mindray,,602,,,,BC-5300,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,ไฟล์แนบ HM368,HM 1906,PHCH
255,00255,โรงพยาบาลวัฒนแพทย์ ตรัง,R,2.35,2.08,64,5.5,18.4,78.5,23.4,29.8,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 858,NGPH
258,00258,โรงพยาบาลซำสูง,R,2.13,2.04,55,5.4,17.1,80.5,25.4,31.5,,,,,,,,,,,(600) Mindray,,602,,,,BC 5300,10 กันยายน 2568,,,C368 ไม่พบเม็ดเลือดขาวภายใน 100 OF และ พบ Parasite ในเม็ดเลือดแดง,ส่งผลสมบูรณ์,ไฟล์แนบ HM368,HM 326,PHCH
270,00270,โรงพยาบาลเฉลิมพระเกียรติ จ.น่าน,R,2.22,2.09,65,5.5,16.9,76.1,24.8,32.5,,,,,,,,,,,(600) Mindray,,602,,,,BC 5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1101,PHCH
271,00271,โรงพยาบาลเทศบาลนครอุดรธานี,R,2.27,2.01,90,5.3,23,101.3,23.5,23.2,,,,,,,,,,,(600) Mindray,,602,,,,BC-5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1563,GNPH
272,00272,โรงพยาบาลท่าหลวง,R,2.26,2.15,62,5.5,18.4,81.3,24.3,29.9,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 933,PHCH
276,00276,โรงพยาบาลคอนสวรรค์,R,2.31,2.16,62,5.5,17.3,75,23.7,31.6,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 274,PHCH
278,00278,โรงพยาบาลเพชรรัตน์,R,2.28,2.16,66,5.6,17.6,77.4,24.4,31.6,,,,,,,,,,,(600) Mindray,,602,,,,BC 5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 831,NGPH
279,00279,โรงพยาบาลวาปีปทุม,R,2.26,2.11,65,5.6,17.3,76.8,24.7,32.2,,,,,,,,,,,(600) Mindray,,602,,,,BC 5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 301,PHCH
280,00280,โรงพยาบาลสระโบสถ์,R,2.31,2.23,67,5.4,19.1,82.7,23.4,28.3,,,,,,,,,,,(600) Mindray,,602,,-,-,-,17 กันยายน 2568,,รายงานผลหน่วย PLT ผิด,,ส่งผลสมบูรณ์,,HM 159,PHCH
281,00281,โรงพยาบาลมหาสารคามอินเตอร์เนชั่นแนล,R,2.09,2.1,115,5.2,21.6,103.1,25,24.3,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 808,NGPH
283,00283,โรงพยาบาลฆ้องชัย,R,2.23,2.14,62,5.5,17.2,77.3,24.7,31.9,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1700,PHCH
285,00285,โรงพยาบาลนามน,R,2.22,2.14,54,5.4,16.8,75.9,24.4,32.2,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 383,PHCH
306,00306,โรงพยาบาลรัชดา-ท่าพระ,R,2.19,2.06,68,5.3,19.1,86.9,24.2,27.9,,,,,,,,,,,(600) Mindray,,602,,,,BC-5300,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1020,NGPH
313,00313,โรงพยาบาลจุฬารัตน์ 5,R,2.3,2.16,63,5.7,18.2,79.1,24.9,31.5,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1330,NGPH
331,00331,โรงพยาบาลพิปูน,R,2.23,2.07,81,5.3,23.5,105.4,23.8,22.5,,,,,,,,,,,(600) Mindray,,602,,,,BC 5300,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 597,PHCH
335,00335,บริษัทเอเชียแล็บบอราทอรี่ เซ็นเตอร์ จำกัด,R,2.24,1.98,69,5.3,17.4,77.7,23.7,30.5,,,,,,,,,,,(600) Mindray,,602,,,,BC-5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 758,NGPH
354,00354,โรงพยาบาลโพธิ์ตาก,R,2.31,2.08,87,5.3,23.8,103.1,22.9,22.3,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,10 กันยายน 2568,,รายงานผลหน่วย PLT ผิด,,ส่งผลสมบูรณ์,,HM 1508,PHCH
356,00356,โรงพยาบาลหนองม่วงไข่,R,2.24,2.09,67,5.4,17,76.1,24.1,31.7,,,,,,,,,,,(600) Mindray,,602,,,,BC  5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 515,PHCH
357,00357,โรงพยาบาลเต่างอย,R,2.19,2.02,65,5,17.3,78.9,22.8,28.9,,,,,,,,,,,(600) Mindray,,602,,,,5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 375,PHCH
358,00358,โรงพยาบาลกรงปินัง,R,2.31,2.32,67,5.5,17.5,75.6,24,31.7,,,,,,,,,,,(600) Mindray,,602,,,,BC 5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1385,PHCH
376,00376,โรงพยาบาลบาเจาะ (เครื่อง1),R,2.28,2.05,64,5.4,17.2,75.6,23.7,31.3,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 683,PHCH
383,00383,โรงพยาบาลท่ากระดาน,R,2.29,2.01,64,5.3,18.2,79.4,23.1,29.1,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 229,PHCH
384,00384,โรงพยาบาลเซ็นทรัลเชียงใหม่ เมโมเรียล,R,2.26,2.13,87,5.4,24.2,107.3,23.9,22.3,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,ไฟล์แนบ HM368,HM 842,NGPH
387,00387,โรงพยาบาลทุ่งช้าง,R,2.21,2.1,65,5.3,17,76.8,24.1,31.4,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 521,PHCH
391,00391,โรงพยาบาลกุดบาก,R,2.28,2.29,68,5.5,17.6,77.2,24.3,31.5,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 373,PHCH
392,00392,โรงพยาบาลบ้านหลวง,R,2.25,2.15,55,5.5,17.2,76,24.5,32.2,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 522,PHCH
394,00394,โปร อินเตอร์ แลบ ไชยา,R,2.28,2.18,55,5.4,17.6,76.9,23.8,31,,,,,,,,,,,(600) Mindray,,602,,,,BC 5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1972,NGPH
424,00424,โรงพยาบาลบ้านฝาง,R,2.2,1.98,61,5.3,17.1,77.9,24.1,30.9,,,,,,,,,,,(600) Mindray,,602,,,,BC 5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 318,PHCH
431,00431,โรงพยาบาลรักษ์สกล,R,5.46,20.24,594,15.1,60.6,111,27.7,24.9,,,,,,,,,,,(600) Mindray,,602,,,,BC 5180,10 กันยายน 2568,,รายงานผลสลับตัวอย่าง A กับ B,,ส่งผลสมบูรณ์,,HM 1037,NGPH
433,00433,โรงพยาบาลสุรินทร์รวมแพทย์,R,2.1,2.06,58,5.4,15.7,74.9,25.7,34.3,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 908,NGPH
434,00434,โรงพยาบาลหนองกี่,R,2.29,2.05,54,5.6,17.7,77.5,24.4,31.5,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 285,PHCH
435,00435,โรงพยาบาลโนนสุวรรณ,R,2.4,2.26,79,5.5,23.8,99.4,23,23.2,,,,,,,,,,,(600) Mindray,,602,,BC-5180,602,BC-5180,10 กันยายน 2568,,รายงานผลหน่วย PLT ผิด,,ส่งผลสมบูรณ์,,HM 1075,PHCH
439,00439,บริษัท ที แอล ซี อุดร แลบเซ็นเตอร์ จำกัด,R,2.26,2.11,65,5.3,17.3,76.5,23.5,30.7,,,,,,,,,,,(600) Mindray,,602,,,,BC-5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1953,NGPH
457,00458,โรงพยาบาลลาดหลุมแก้ว,R,2.24,2.16,65,5.5,17.5,77.9,24.4,31.3,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1067,PHCH
458,00459,โรงพยาบาลแหลมสิงห์,R,2.18,2.01,84,5.2,22.4,102.7,23.8,23.2,,,,,,,,,,,(600) Mindray,,602,,,,BC5380,17 กันยายน 2568,วัตถุทดสอบ A368 จะส่งผลให้ทาง Email อีกครั้ง,,,ส่งผลสมบูรณ์,,HM 206,PHCH
460,00461,โรงพยาบาลวังชิ้น,R,2.24,1.99,64,5.4,17,75.9,24.1,31.8,,,,,,,,,,,(600) Mindray,,602,,,,-,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 513,PHCH
464,00465,โรงพยาบาลสูงเม่น,R,2.22,2.13,64,5.3,16.8,75.8,23.9,31.5,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 514,PHCH
466,00467,โรงพยาบาลสมเด็จพระยุพราชเด่นชัย,R,2.34,2.15,81,5.4,21.7,92.9,23.2,25,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 509,PHCH
467,00468,โรงพยาบาลทุ่งหัวช้าง,R,2.31,1.98,98,5.3,24.1,104.6,23.2,22.2,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,ไฟล์แนบ HM368,HM 1090,PHCH
468,00469,บริษัท พริ้นซิเพิล เฮลท์แคร์-ลำพูน จำกัด,R,2.27,2.05,63,5.5,17.5,76.9,24.2,31.5,,,,,,,,,,,(600) Mindray,,602,,,,BC 5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1863,NGPH
469,00470,โรงพยาบาลเจษฎา2,R,2.25,2.13,57,5.4,17.1,75.8,24.1,31.8,,,,,,,,,,,(600) Mindray,,602,,,,BC 5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,ไฟล์แนบ HM368,HM 1918,NGPH
470,00471,โรงพยาบาลสังคม,R,2.29,2.23,66,5.5,17.1,74.6,23.8,31.9,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 966,PHCH
471,00472,โรงพยาบาลหนองเรือ,R,2.24,2.11,63,5.3,17.8,79.4,23.7,29.8,,,,,,,,,,,(600) Mindray,,602,,,BC5300,BC5300,10 กันยายน 2568,ไม่มี,,,ส่งผลสมบูรณ์,,HM 315,PHCH
472,00473,โรงพยาบาลภูเรือ,R,2.19,1.95,65,5.3,17.3,79.4,23.6,29.7,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,10 กันยายน 2568,ไม่มีค่ะ,,,ส่งผลสมบูรณ์,,HM 333,PHCH
473,00474,โรงพยาบาลท่าลี่,R,2.29,2.17,62,5.6,17.7,77.3,24.6,31.8,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 332,PHCH
474,00475,โรงพยาบาลเวียงเก่า,R,2.19,1.99,56,5.4,17,76.4,24.4,31.8,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1799,PHCH
475,00476,โรงพยาบาลผาขาว,R,2.18,2.12,60,5.4,16.6,76.4,24.7,32.3,,,,,,,,,,,(600) Mindray,,602,,,,-,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 334,PHCH
476,00477,โรงพยาบาลโนนสัง,R,2.31,2.13,77,5.3,24.9,107.8,23,21.4,,,,,,,,,,,(600) Mindray,,602,,,,Bc5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 360,PHCH
480,00481,โรงพยาบาลภูเวียง,R,2.3,2.19,62,5.5,17.4,75.5,23.9,31.7,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 962,PHCH
485,00486,โรงพยาบาลจุน,R,1.89,1.76,56,4.6,14.1,74.4,24.4,32.8,,,,,,,,,,,(600) Mindray,,602,,,,BC 5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 576,PHCH
505,00506,โรงพยาบาลห้วยผึ้ง,R,2.31,2.16,82,5.4,22,95.1,23.4,24.6,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 384,PHCH
526,00527,โรงพยาบาลแม่ใจ,R,2.22,2.08,74,5.3,17.3,77.9,23.7,30.4,,,,,,,,,,,(600) Mindray,,602,,,,BC 5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 577,PHCH
528,00529,โรงพยาบาลสุคิริน,R,2.28,2.14,60,5.6,16.7,73,24.4,33.4,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 681,PHCH
529,00530,โรงพยาบาลค่ายพระยอดเมืองขวาง,R,2.2,2.14,60,5.2,16.7,75.8,23.5,31,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1613,GNPH
553,00554,โรงพยาบาลกาบัง,R,2.23,2.1,71,5.3,16.7,74.8,23.9,32,,,,,,,,,,,(600) Mindray,,602,,,,BC-5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 667,PHCH
560,00561,โรงพยาบาลปางศิลาทอง,R,2.27,2.1,60,5.4,17,74.9,23.7,31.7,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1086,PHCH
563,00564,โรงพยาบาลซานเปาโลหัวหิน,R,2.25,2.15,65,5.5,16.8,74.1,24.2,32.5,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 903,NGPH
565,00566,โรงพยาบาลพีเอ็มจี,R,2.27,2.09,64,5.3,17.4,76.8,23.3,30.3,,,,,,,,,,,(600) Mindray,,602,,,,BC-5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 759,NGPH
566,00567,โรงพยาบาลค่ายภาณุรังษี,R,2.23,2.06,65,503,17,76.3,23.8,31.1,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1514,GNPH
567,00568,โรงพยาบาลสวี,R,2.29,2.13,66,5.6,17.3,75.6,24.3,32.2,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 614,PHCH
568,00569,โรงพยาบาลพระทองคำเฉลิมพระเกียรติ ๘๐ พรรษา,R,2.18,2.01,55,5.4,16.9,77.4,24.8,32,,,,,,,,,,,(600) Mindray,,602,,,,BC 5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1268,PHCH
569,00570,โรงพยาบาลแก้งสนามนาง,R,2.25,2.18,61,5.5,16.6,73.9,24.4,33.3,,,,,,,,,,,(600) Mindray,,602,,,,BC-5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 951,PHCH
570,00571,โรงพยาบาลสีดา,R,2.3,2.23,880,5.5,21.7,94.5,23.6,24.9,,,,,,,,,,,(600) Mindray,,602,,Mindray5180,,BC 5180,10 กันยายน 2568,,รายงานผลหน่วย PLT ผิด,,ส่งผลสมบูรณ์,,HM 1702,PHCH
579,00580,โรงพยาบาลพระยืน,R,2.24,2.1,66,5.3,17.3,77.2,23.7,30.7,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 324,PHCH
622,00623,โรงพยาบาลมโนรมย์,R,2.3,2.07,104,5.4,25,109.6,23.5,21.4,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 166,PHCH
660,00661,โรงพยาบาลค่ายเสนาณรงค์,R,2.23,2.17,63,5.5,17.2,76.8,24.5,31.9,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1769,GNPH
662,00663,โรงพยาบาลสมเด็จ,R,2.22,2.15,68,5.4,16.5,74.4,24.2,32.6,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,10 กันยายน 2568,ตัวอย่าง A 368 ฺB368 ที่ส่งมารอบแรก Hemolysis จึงขอตัวอย่างใหม่รอบ 2 ทำให้ได้ตรวจ 19/9/68,,,ส่งผลสมบูรณ์,,HM 379,PHCH
666,00667,โรงพยาบาลปลาปาก,R,2.28,2.24,62,5.5,17.1,75.2,24.1,32,,,,,,,,,,,(600) Mindray,,602,,603,,BC5180,10 กันยายน 2568,,รายงานผลหน่วย PLT ผิด,,ส่งผลสมบูรณ์,,HM 411,PHCH
667,00668,โรงพยาบาลพิบูลย์รักษ์,R,2.21,2.26,73,5.5,17.3,78.6,24.9,31.7,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 355,PHCH
673,00674,บริษัท นาบอนอินเตอร์เมดิคอล จำกัด,R,2.29,2.19,62,5.4,17.5,76.2,23.4,30.7,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,ตัวอย่าง B368  Hemolysis,ส่งผลสมบูรณ์,,HM 598,NGPH
675,00676,โรงพยาบาลเฟิร์สเวสเทอร์น,R,2.25,2.1,63,5.4,17.3,77,24,31.1,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1537,NGPH
